meaning,column
SF,State/Territory
CF,County Name
DF_PFS,Diagnosed diabetes among adults aged greater than or equal to 18 years (percentile)
AF_PFS,Current asthma among adults aged greater than or equal to 18 years (percentile)
HDF_PFS,Coronary heart disease among adults aged greater than or equal to 18 years (percentile)
DSF_PFS,Diesel particulate matter exposure (percentile)
EBF_PFS,Energy burden (percentile)
EALR_PFS,Expected agricultural loss rate (Natural Hazards Risk Index) (percentile)
EBLR_PFS,Expected building loss rate (Natural Hazards Risk Index) (percentile)
EPLR_PFS,Expected population loss rate (Natural Hazards Risk Index) (percentile)
HBF_PFS,Housing burden (percent) (percentile)
LLEF_PFS,Low life expectancy (percentile)
LIF_PFS,Linguistic isolation (percent) (percentile)
LMI_PFS,Low median household income as a percent of area median income (percentile)
MHVF_PFS,Median value ($) of owner-occupied housing units (percentile)
PM25F_PFS,PM2.5 in the air (percentile)
HSEF,Percent individuals age 25 or over with less than high school degree
P100_PFS,Percent of individuals < 100% Federal Poverty Line (percentile)
P200_PFS,Percent of individuals below 200% Federal Poverty Line (percentile)
LPF_PFS,Percent pre-1960s housing (lead paint indicator) (percentile)
NPL_PFS,Proximity to NPL sites (percentile)
RMP_PFS,Proximity to Risk Management Plan (RMP) facilities (percentile)
TSDF_PFS,Proximity to hazardous waste sites (percentile)
TPF,Total population
TF_PFS,Traffic proximity and volume (percentile)
UF_PFS,Unemployment (percent) (percentile)
WF_PFS,Wastewater discharge (percentile)
M_WTR,Water Factor (Definition M)
M_WKFC,Workforce Factor (Definition M)
M_CLT,Climate Factor (Definition M)
M_ENY,Energy Factor (Definition M)
M_TRN,Transportation Factor (Definition M)
M_HSG,Housing Factor (Definition M)
M_PLN,Pollution Factor (Definition M)
M_HLTH,Health Factor (Definition M)
SM_C,Definition M (communities)
SM_PFS,Definition M (percentile)
EPLRLI,"Greater than or equal to the 90th percentile for expected population loss rate, is low income, and has a low percent of higher ed students?"
EALRLI,"Greater than or equal to the 90th percentile for expected agriculture loss rate, is low income, and has a low percent of higher ed students?"
EBLRLI,"Greater than or equal to the 90th percentile for expected building loss rate, is low income, and has a low percent of higher ed students?"
PM25LI,"Greater than or equal to the 90th percentile for PM2.5 exposure, is low income, and has a low percent of higher ed students?"
EBLI,"Greater than or equal to the 90th percentile for energy burden, is low income, and has a low percent of higher ed students?"
DPMLI,"Greater than or equal to the 90th percentile for diesel particulate matter, is low income, and has a low percent of higher ed students?"
